iter	RMSE
0	3223.323191
1	3055.560685
2	2888.434763
3	2737.215371
4	2592.420451
5	2454.200079
6	2324.632568
7	2203.294399
8	2093.195094
9	1985.699335
10	1880.969092
11	1784.199734
12	1694.061117
13	1609.363556
14	1527.118854
15	1453.075068
16	1384.986727
17	1321.133666
18	1260.412131
19	1199.613019
20	1145.551283
21	1091.931898
22	1042.631478
23	995.3154362
24	953.2930234
25	914.5478855
26	875.9972019
27	841.6866375
28	806.2713456
29	774.440027
30	745.017126
31	716.4113832
32	690.1874267
33	665.1357751
34	641.5771527
35	619.3086447
36	598.6765645
37	578.7887175
38	561.5341516
39	544.8001387
40	529.4326439
41	514.9870882
42	501.7078145
43	489.4593657
44	478.1000649
45	467.1216241
46	457.493734
47	447.3984752
48	438.6770274
49	430.4482853
50	422.0997354
51	414.7603103
52	407.8132267
53	401.5244007
54	397.1519096
55	395.8322951
56	394.5375295
57	393.287175
58	387.0737378
59	381.7659891
60	380.6621225
61	379.4276784
62	378.3062094
63	377.2830967
64	373.5888878
65	368.4404778
66	367.4173148
67	366.4139757
68	365.3606335
69	364.4840801
70	363.4860871
71	359.6413286
72	357.4635259
73	356.651611
74	355.7984915
75	355.0517913
76	352.8815474
77	352.0972114
78	347.6464764
79	346.9047804
80	346.0351033
81	342.857559
82	342.1638626
83	341.5503037
84	340.8940273
85	340.2589091
86	336.7696933
87	334.4238785
88	333.8277976
89	333.2191802
90	330.615718
91	330.0652716
92	329.4477219
93	328.8521102
94	326.9934186
95	326.4460437
96	324.6385491
97	322.2682947
98	321.7455175
99	320.5490882
100	320.1100845
101	319.7126434
102	319.3015626
103	318.9016794
104	318.5141933
105	316.8199698
106	315.1012143
107	314.7347266
108	312.8806071
109	312.0032355
110	311.6714581
111	311.3521623
112	309.7715398
113	309.4689139
114	309.1987166
115	307.7831902
116	307.4881543
117	307.2170025
118	306.9766086
119	305.266422
120	303.1133888
121	302.1047248
122	301.885706
123	301.6149155
124	301.3883707
125	299.9038662
126	299.004148
127	297.3977136
128	296.170015
129	295.9378194
130	295.7396371
131	295.5529953
132	295.3699546
133	293.9228938
134	293.0343985
135	292.8758482
136	291.5366644
137	290.1648788
138	289.2584072
139	289.0041647
140	288.8316289
141	288.6664017
142	288.5303479
143	288.3714582
144	287.0488227
145	285.7493035
146	284.9376574
147	283.937516
148	283.1685488
149	282.0077484
150	281.8741099
151	281.05455
152	280.9334094
153	280.8159093
154	280.106519
155	279.6143267
156	278.6187307
157	278.5110992
158	277.8958201
159	277.7518352
160	277.6525538
161	277.5089253
162	276.8527151
163	276.2547852
164	275.5225307
165	274.9301685
166	274.4382233
167	274.3550789
168	274.2883467
169	273.5530899
170	272.7036054
171	272.2179268
172	272.1584279
173	271.5727026
174	271.2930081
175	271.1568963
176	270.6111641
177	270.54529
178	270.0342918
179	269.9854475
180	269.8702598
181	269.8249326
182	269.4030902
183	269.3601304
184	268.8363054
185	268.649907
186	268.2485622
187	267.5394246
188	267.5015678
189	267.3444738
190	267.1594385
191	267.0748282
192	266.653685
193	266.3969528
194	265.8417176
195	265.1610277
196	264.7644064
197	264.1034183
198	263.9297319
199	263.8397546
200	263.234351
201	262.9905201
202	262.9651704
203	262.5032895
204	262.1789145
205	261.7142475
206	261.492711
207	261.1285582
208	261.0151795
209	260.4775721
210	259.9347013
211	259.524476
212	259.2863398
213	258.7211259
214	258.3260699
215	258.297582
216	257.7755184
217	257.3473564
218	257.1342305
219	256.5783886
220	256.1944048
221	255.8356041
222	255.4726608
223	255.0205588
224	254.7434077
225	254.461498
226	254.1268354
227	253.8240848
228	253.4970611
229	252.8919962
230	252.5219294
231	252.1872993
232	251.6738135
233	251.3866493
234	250.951745
235	250.613019
236	250.3173992
237	250.0821729
238	249.6976076
239	249.4111945
240	249.0494949
241	248.7928143
242	248.4176028
243	248.167423
244	247.9274414
245	247.6126141
246	247.3231639
247	247.0911121
248	246.7485794
249	246.2999635
250	246.0567934
251	245.7501975
252	245.5203263
253	244.9270368
254	244.7215726
255	244.283017
256	244.0593242
257	243.9363404
258	243.7334795
259	243.5187829
260	243.3296266
261	242.9734926
262	242.7318402
263	242.5048178
264	242.3280799
265	242.1434589
266	241.799293
267	241.61246
268	241.454016
269	241.3367286
270	241.1031862
271	240.9217115
272	240.6581912
273	240.3579649
274	239.949806
275	239.7404012
276	239.5417934
277	239.3527365
278	239.1089312
279	238.8925467
280	238.6672739
281	238.3935692
282	238.2277474
283	238.0208197
284	237.7762251
285	237.4859485
286	237.310541
287	237.1847245
288	237.008772
289	236.7905339
290	236.4332787
291	236.2939467
292	236.166978
293	235.9661102
294	235.7211999
295	235.225792
296	234.9593388
297	234.7664153
298	234.6477536
299	234.5579212
300	234.4109462
301	234.2324765
302	233.8933838
303	233.8273877
304	233.6374701
305	233.4691768
306	233.3372358
307	233.014376
308	232.7350662
309	232.3499871
310	232.2140433
311	231.9855442
312	231.2230601
313	230.9952945
314	230.9103336
315	230.745851
316	230.6002256
317	230.2525755
318	229.8867235
319	229.7187148
320	229.5198543
321	229.3052775
322	229.2294381
323	229.1699753
324	228.9173543
325	228.2169814
326	228.1476561
327	227.8946387
328	227.830361
329	227.6615293
330	227.3919769
331	227.2520411
332	227.1044751
333	227.0418917
334	226.8355042
335	226.6389016
336	226.4481008
337	226.3573703
338	226.3062718
339	226.1328043
340	226.0755866
341	225.863199
342	225.6489218
343	225.5990332
344	225.413958
345	225.1007907
346	225.0529638
347	224.5215528
348	224.3206748
349	224.2772274
350	224.1644404
351	223.8410938
352	223.7882494
353	223.638208
354	223.4643578
355	223.2923021
356	223.0931487
357	222.9882138
358	222.9370519
359	222.7776733
360	222.4709575
361	222.3356272
362	222.2365065
363	221.9403593
364	221.8073455
365	221.7217374
366	221.554075
367	221.4746188
368	221.3674107
369	221.3196506
370	221.154049
371	220.5544545
372	220.5082148
373	220.4635915
374	220.3789586
375	220.2797265
376	220.1260961
377	219.8426935
378	219.6050346
379	219.3604745
380	219.0916385
381	219.0487153
382	218.953659
383	218.8368154
384	218.7701283
385	218.601424
386	218.3693761
387	218.2055595
388	218.0288674
389	217.9147193
390	217.8515579
391	217.7157361
392	217.0930278
393	216.9096736
394	216.8136467
395	216.721645
396	216.5636729
397	216.457305
398	216.3748377
399	216.2877498
400	216.1995606
401	215.996818
402	215.4100176
403	215.2617741
404	215.0579131
405	214.9719473
406	214.8745496
407	214.7337264
408	214.536807
409	214.3895226
410	214.2823698
411	214.145581
412	214.0056893
413	213.850518
414	213.6498711
415	213.6310211
416	213.4973671
417	213.3647524
418	213.2413033
419	213.0844851
420	213.0412751
421	212.9326106
422	212.8646394
423	212.8087061
424	212.7338316
425	212.5581055
426	212.4361386
427	212.3365734
428	212.2595916
429	212.2238989
430	212.191422
431	211.5502074
432	211.4642089
433	211.2967243
434	211.0923679
435	210.6923291
436	210.6145527
437	210.4764277
438	210.2784936
439	210.1246112
440	210.0685786
441	209.9722772
442	209.6133658
443	209.6058812
444	209.4379358
445	209.2948322
446	209.2611545
447	209.0772728
448	208.9807267
449	208.8240321
450	208.6744891
451	208.579099
452	208.465728
453	208.4313877
454	208.3437092
455	208.189612
456	208.0574133
457	207.8588235
458	207.7988705
459	207.6830666
460	207.6384959
461	207.5224152
462	207.4682502
463	207.4279005
464	207.4189035
465	207.3077189
466	207.1838775
467	207.0424367
468	206.9385349
469	206.8099727
470	206.4813414
471	206.3153588
472	206.1395243
473	206.0179878
474	205.862184
475	205.8337511
476	205.3129763
477	205.2260202
478	205.0751634
479	204.9930864
480	204.91931
481	204.7923917
482	204.7576108
483	204.5904558
484	204.41317
485	203.8662458
486	203.7636006
487	203.6213236
488	203.3485613
489	203.2157664
490	203.0269137
491	202.9938824
492	202.842468
493	202.6969984
494	202.1960222
495	202.0874697
496	201.9880803
497	201.4706524
498	201.3288004
499	201.207944
500	201.0953378
501	200.5806611
502	200.5485806
503	200.4520176
504	200.3972548
505	200.3550574
506	200.2073748
507	199.7079444
508	199.6212721
509	199.5161127
510	199.4657388
511	199.4369949
512	199.3369369
513	199.2287645
514	198.9094447
515	198.7999543
516	198.621237
517	198.5099155
518	198.4353142
519	198.3611074
520	198.2894836
521	198.2435624
522	198.194843
523	197.9635078
524	197.8629911
525	197.4042986
526	197.1266372
527	197.0920686
528	196.7432998
529	196.5343205
530	196.4591293
531	196.329142
532	196.2773581
533	196.1760553
534	196.0125945
535	195.910081
536	195.7867251
537	195.759304
538	195.6427129
539	195.5609832
540	195.1066106
541	195.0304897
542	194.9461993
543	194.8163063
544	194.6891338
545	194.6032895
546	194.52304
547	194.4464417
548	194.4079171
549	194.3033801
550	194.1686877
551	193.9627758
552	193.8969995
553	193.837818
554	193.7639649
555	193.586887
556	193.4926625
557	193.0289665
558	192.8461933
559	192.7345466
560	192.2812307
561	192.1639787
562	192.1038121
563	192.0757995
564	191.6584075
565	191.6266627
566	191.5897916
567	191.4686238
568	191.4068847
569	191.2785828
570	191.2199345
571	191.2136994
572	191.2046814
573	191.1598669
574	191.0773651
575	190.9730329
576	190.8952864
577	190.8915003
578	190.8878532
579	190.7657298
580	190.5661658
581	190.4358598
582	190.3095757
583	190.261217
584	190.0776285
585	189.9832852
586	189.8960473
587	189.8463761
588	189.79704
589	189.7475557
